MSME_ID,Customer_Segment,Business_Type,Industry,Location_Category,Years_in_Operation,Employee_Count,Annual_Turnover_INR,Monthly_GST_Sales_INR,Monthly_GST_Purchases_INR,GST_Filing_Timeliness_Pct,GST_Return_Frequency,Monthly_UPI_Inflow_INR,Monthly_UPI_Outflow_INR,UPI_Avg_Ticket_Size_INR,UPI_Daily_Txn_Count,Transaction_Volatility_Index,Monthly_Bank_Credits_INR,Monthly_Bank_Debits_INR,Average_Bank_Balance_INR,Cashflow_Stability_Index,Has_Existing_Loan,Monthly_Loan_EMI_INR,EMI_On_Time_Rate_Pct,Overdraft_Usage_Ratio,Monthly_Payroll_INR,Salary_Consistency_Pct,Employee_Attrition_Rate_Pct,Avg_Invoice_Payment_Delay_Days,Customer_Concentration_Ratio,Vendor_Payment_Timeliness_Pct,Seasonality_Index,Revenue_Growth_Rate_Pct,Credit_History_Months,Business_Stability_Score,Cashflow_Score,Revenue_Consistency_Score,Payment_Behaviour_Score,Business_Growth_Score,Compliance_Score,Financial_Health_Score,Probability_of_Default,Credit_Risk_Category,Credit_Eligible,Recommended_Credit_Limit_INR
MSME0000001,NTC,LLP,Logistics,Tier 2,8.0,2,5854430,476042,327244,85.7,Monthly,181309,131501,611,11.4,0.251,514240,483729,127948,0.706,No,0,,0.231,40508,87.0,23.1,34.0,0.45,90.4,0.243,31.1,0,74.1,69.2,74.6,81.7,54.7,86.0,76.9,0.0892,Medium,Yes,504000
MSME0000002,NTB,LLP,Services,Tier 1,3.6,5,14773394,991792,493131,76.6,Monthly,505613,329464,998,19.5,0.285,1096872,937265,337977,0.64,Yes,364800,82.3,0.377,98782,82.5,15.7,20.0,0.598,79.5,0.152,-2.0,13,65.8,63.7,69.8,79.7,34.6,78.1,65.3,0.2621,High,No,0
MSME0000003,NTC,Partnership,Textiles,Tier 3,8.4,1,1070209,101178,74567,88.5,Monthly,21118,9100,626,1.3,0.422,100568,64477,66707,0.656,No,0,,0.277,12857,82.1,20.0,12.9,0.595,79.0,0.377,-2.7,0,74.0,71.4,55.9,81.3,29.2,86.9,74.7,0.0871,Medium,Yes,87000
MSME0000004,NTB,Proprietorship,Food & Beverage,Tier 2,13.0,2,5311169,418259,376081,74.2,Monthly,192806,109902,829,8.9,0.195,422343,379025,149647,0.587,No,0,,0.285,37788,76.8,31.6,10.4,0.742,81.2,0.152,-14.1,0,74.7,62.2,73.4,83.2,23.1,74.9,68.9,0.1484,Medium,Yes,400000
MSME0000005,NTB,Private Limited,Retail,Tier 3,5.7,14,21657434,1874056,1160563,72.9,Monthly,1393227,1079784,10479,5.1,0.273,2070472,1604970,883316,0.6,No,0,,0.321,362004,77.1,7.5,8.6,0.564,77.5,0.172,13.3,0,71.2,64.5,72.3,81.6,49.5,73.9,67.8,0.177,High,No,0
MSME0000006,NTC,Partnership,IT & Digital,Tier 1,0.3,2,3618574,293618,247615,76.8,Monthly,94970,67555,253,14.4,0.419,322645,244216,267688,0.547,No,0,,0.346,45963,72.3,17.6,11.1,0.32,71.0,0.38,12.3,0,45.7,61.3,58.2,77.4,41.6,75.6,68.1,0.2088,High,No,0
MSME0000007,NTC,Private Limited,Logistics,Tier 1,2.2,1,3448216,296629,157973,91.7,Monthly,72869,28997,108,26.0,0.146,295374,190835,321837,0.755,No,0,,0.167,25863,96.7,11.3,4.5,0.236,84.8,0.223,17.1,0,66.4,79.4,79.2,86.8,43.1,93.0,83.3,0.0326,Low,Yes,554000
MSME0000008,Existing-to-Credit,Private Limited,Construction,Tier 3,5.8,1,1192813,92338,53326,82.9,Quarterly,21772,14514,323,2.6,0.354,92254,65014,74050,0.705,Yes,7155,89.5,0.325,17161,81.9,7.8,11.7,0.134,81.9,0.207,-14.1,51,72.7,71.6,62.4,84.7,21.2,82.7,72.5,0.1397,Medium,Yes,103000
MSME0000009,NTC,Proprietorship,Retail,Tier 2,3.5,7,5439482,434839,300468,91.6,Monthly,254795,150625,693,14.1,0.165,395679,263072,398733,0.799,No,0,,0.019,146211,95.9,27.0,1.6,0.738,92.3,0.337,10.5,0,66.7,85.2,74.2,91.7,44.7,92.7,79.8,0.0397,Low,Yes,913000
MSME0000010,NTC,Partnership,Services,Tier 2,1.6,4,10357822,835003,505675,64.4,Monthly,578714,247115,3767,5.9,0.445,843529,643720,462316,0.394,No,0,,0.276,53728,68.5,28.9,18.2,0.349,57.9,0.605,2.2,0,50.9,54.5,49.5,68.2,36.8,65.4,62.2,0.3397,High,No,0
